variant,candidate_auc,candidate_brier,rookie_auc,rookie_brier,top5_graded,top5_hits,top5_precision,top5_voids,top10_graded,top10_hits,top10_precision,top10_voids,top20_graded,top20_hits,top20_precision,top20_voids,top30_graded,top30_hits,top30_precision,top30_voids
legacy_features,0.728637,0.137380,0.688170,0.142779,87,55,0.632184,3,175,94,0.537143,5,347,153,0.440922,13,517,208,0.402321,23
legacy_plus_rookie_specialist,0.731000,0.137313,0.695416,0.142308,87,54,0.620690,3,175,92,0.525714,5,348,157,0.451149,12,518,211,0.407336,22
availability,0.727349,0.138139,0.688082,0.143283,87,50,0.574713,3,175,94,0.537143,5,346,157,0.453757,14,516,210,0.406977,24
rules_environment_only,0.727116,0.138094,0.676533,0.143751,88,54,0.613636,2,175,92,0.525714,5,346,150,0.433526,14,518,209,0.403475,22
rookie_pathway_only,0.727891,0.137588,0.679466,0.144138,85,51,0.600000,5,170,88,0.517647,10,331,145,0.438066,29,494,201,0.406883,46
history_2024_plus,0.717318,0.139712,0.670790,0.145688,88,47,0.534091,2,177,94,0.531073,3,348,157,0.451149,12,515,220,0.427184,25
history_recency_weighted,0.725800,0.138353,0.670441,0.145326,85,50,0.588235,5,172,90,0.523256,8,342,149,0.435673,18,510,202,0.396078,30
expert_role,0.726014,0.138316,0.672353,0.145125,88,51,0.579545,2,175,89,0.508571,5,342,155,0.453216,18,509,210,0.412574,31
